epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,469.447,1.14852,2.24694,1.50682,0.3893,0.39733,0.34722,0.17127,1.43926,2.88443,1.94194,0.000659574,0.000659574,0.000659574
2,925.157,1.32294,2.03097,1.60758,0.33675,0.44867,0.3398,0.1592,1.62147,2.51386,2.14812,0.00129998,0.00129998,0.00129998
3,1447.5,1.41506,1.94112,1.67185,0.3435,0.336,0.27006,0.11288,2.02517,2.7251,2.39648,0.00191399,0.00191399,0.00191399
4,1871.07,1.37968,1.86453,1.6435,0.36147,0.44933,0.31014,0.14328,1.6478,2.14621,1.98969,0.0018812,0.0018812,0.0018812
5,2293.88,1.37381,1.7643,1.6312,0.29123,0.46733,0.23803,0.1195,1.54575,2.08564,1.9004,0.0018416,0.0018416,0.0018416
6,2691.52,1.32846,1.6812,1.60606,0.43154,0.48889,0.45157,0.23606,1.48029,1.87418,1.78162,0.001802,0.001802,0.001802
7,3090.55,1.3106,1.66047,1.58396,0.45529,0.50533,0.45787,0.25573,1.40684,1.91458,1.74578,0.0017624,0.0017624,0.0017624
8,4560.92,1.28516,1.5911,1.56848,0.4961,0.60133,0.52025,0.30823,1.30155,1.69869,1.61537,0.0017228,0.0017228,0.0017228
9,4989.04,1.22454,1.52355,1.52662,0.51309,0.55467,0.51086,0.30864,1.32216,1.62128,1.61947,0.0016832,0.0016832,0.0016832
10,5401.76,1.22101,1.46931,1.51714,0.53319,0.62212,0.5532,0.32247,1.30782,1.58615,1.69703,0.0016436,0.0016436,0.0016436
11,5823.65,1.17341,1.41627,1.48022,0.55186,0.656,0.60082,0.35219,1.29564,1.42207,1.5898,0.001604,0.001604,0.001604
12,6255.21,1.15943,1.38594,1.47047,0.55697,0.66799,0.61629,0.36668,1.23363,1.43698,1.53494,0.0015644,0.0015644,0.0015644
13,6659.38,1.14533,1.35341,1.4575,0.56195,0.67067,0.63822,0.39727,1.22349,1.392,1.52315,0.0015248,0.0015248,0.0015248
14,7084.53,1.10355,1.28453,1.42604,0.63728,0.72867,0.71687,0.47134,1.11641,1.22779,1.43971,0.0014852,0.0014852,0.0014852
15,7517.3,1.0864,1.29087,1.42233,0.63777,0.71933,0.7248,0.48675,1.07723,1.18763,1.397,0.0014456,0.0014456,0.0014456
16,7943.82,1.08761,1.27639,1.41369,0.63002,0.73933,0.71344,0.46709,1.0966,1.19634,1.41169,0.001406,0.001406,0.001406
17,8378.42,1.06317,1.22927,1.40658,0.63668,0.766,0.75257,0.50947,1.03659,1.11318,1.40284,0.0013664,0.0013664,0.0013664
18,8808.44,1.05383,1.19747,1.39466,0.68683,0.69011,0.73659,0.50411,1.04133,1.14126,1.38153,0.0013268,0.0013268,0.0013268
19,9232.36,1.04452,1.16628,1.36868,0.71294,0.76661,0.79873,0.55832,0.99492,1.03882,1.31588,0.0012872,0.0012872,0.0012872
20,9656.05,0.99521,1.12248,1.34307,0.70513,0.76733,0.78497,0.56343,0.96076,1.00009,1.29004,0.0012476,0.0012476,0.0012476
21,10074.7,1.0166,1.14421,1.35815,0.71697,0.77346,0.82209,0.60022,0.9196,0.94664,1.2555,0.001208,0.001208,0.001208
22,10513.6,0.99757,1.12501,1.34211,0.72557,0.768,0.809,0.59286,0.91018,0.98846,1.23999,0.0011684,0.0011684,0.0011684
