epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,451.58,1.16013,1.79562,1.50184,0.71638,0.67315,0.72611,0.41884,1.26443,1.8228,1.7155,0.000659574,0.000659574,0.000659574
2,894.23,1.21863,1.4727,1.49428,0.62751,0.58341,0.60607,0.31515,1.44527,1.9159,1.85199,0.00127372,0.00127372,0.00127372
3,1328.32,1.29039,1.44568,1.54029,0.70674,0.68311,0.72955,0.4113,1.41721,1.39151,1.7613,0.00183507,0.00183507,0.00183507
4,1764.42,1.26102,1.32977,1.52095,0.72122,0.60742,0.66739,0.35864,1.47747,1.70176,1.78994,0.0017624,0.0017624,0.0017624
5,2201.88,1.25291,1.27238,1.50543,0.64178,0.55143,0.60503,0.32649,1.5167,1.53799,1.78969,0.0016832,0.0016832,0.0016832
6,2643.53,1.19615,1.23248,1.47024,0.72261,0.62247,0.70273,0.40613,1.3868,1.39222,1.66634,0.001604,0.001604,0.001604
7,3080.59,1.18162,1.12135,1.45449,0.79567,0.78305,0.83946,0.52656,1.15908,1.09419,1.49161,0.0015248,0.0015248,0.0015248
8,3511.09,1.11764,1.06353,1.41035,0.75667,0.74128,0.79498,0.49729,1.19148,1.1893,1.5207,0.0014456,0.0014456,0.0014456
9,3918.75,1.1063,1.03396,1.39246,0.86755,0.82563,0.90637,0.61538,1.06076,0.89113,1.4014,0.0013664,0.0013664,0.0013664
10,4322,1.0761,0.97855,1.37851,0.85114,0.82077,0.89906,0.60975,1.03053,0.88092,1.38227,0.0012872,0.0012872,0.0012872
11,5708.51,1.01524,0.91527,1.33016,0.87258,0.81643,0.9079,0.63017,1.02427,0.87401,1.34228,0.001208,0.001208,0.001208
12,6148.69,1.01684,0.91542,1.33496,0.88761,0.82948,0.91549,0.653,0.96693,0.78217,1.30226,0.0011288,0.0011288,0.0011288
13,6583.74,0.98388,0.86159,1.31371,0.89295,0.84793,0.93066,0.67239,0.91616,0.78703,1.2657,0.0010496,0.0010496,0.0010496
14,7016.83,0.96097,0.83713,1.30137,0.91869,0.85683,0.9441,0.70764,0.85121,0.66425,1.18813,0.0009704,0.0009704,0.0009704
15,7444.85,0.93512,0.81783,1.28774,0.91737,0.85158,0.93783,0.70855,0.84583,0.66135,1.20444,0.0008912,0.0008912,0.0008912
16,7868.39,0.90399,0.77869,1.28363,0.92151,0.88554,0.95123,0.71765,0.84098,0.68297,1.18547,0.000812,0.000812,0.000812
17,8313.54,0.87406,0.69566,1.25713,0.92268,0.89416,0.95594,0.73672,0.79368,0.6014,1.16073,0.0007328,0.0007328,0.0007328
18,8753.26,0.82479,0.64464,1.23248,0.93664,0.90105,0.96394,0.74911,0.77167,0.5753,1.1377,0.0006536,0.0006536,0.0006536
19,9202.94,0.7924,0.60225,1.20045,0.95183,0.9047,0.97124,0.77044,0.74251,0.53193,1.1037,0.0005744,0.0005744,0.0005744
20,9643.98,0.78683,0.58034,1.20086,0.93963,0.9262,0.97464,0.78348,0.70196,0.50508,1.08423,0.0004952,0.0004952,0.0004952
21,10095.5,0.75173,0.55528,1.16962,0.96803,0.92085,0.97858,0.80049,0.66839,0.46665,1.04959,0.000416,0.000416,0.000416
22,10532.1,0.70995,0.51421,1.13949,0.96537,0.92691,0.98121,0.81768,0.63807,0.44973,1.0266,0.0003368,0.0003368,0.0003368
23,10959.7,0.69112,0.49431,1.1198,0.96493,0.93755,0.985,0.82622,0.6229,0.42962,1.01243,0.0002576,0.0002576,0.0002576
24,11388.7,0.67606,0.48073,1.11305,0.96628,0.95293,0.98676,0.83556,0.5979,0.40412,0.99367,0.0001784,0.0001784,0.0001784
25,11835.6,0.64579,0.45729,1.0859,0.97188,0.9485,0.98677,0.83893,0.59077,0.3918,0.98527,9.92e-05,9.92e-05,9.92e-05
